company_id,familymart,ihi,itochu,jfe-steel,marubeni,mitsubishi-corp,mitsubishi-materials,mitsui-es,ms-japan,nomura,ntt-data,ntt-data-at,ntt-data-es,ntt-docomo,ntt-docomo-business,ntt-east,ntt-holding,ntt-west,nyk,sekisui-chem,seven-i,sumitomo-corp,toyota
familymart,1.000000000000001,0.06772470369834098,0.04201972299750559,0.042245387407930844,0.05121326437598683,0.09950930074858332,0.06114070102870355,0.09908210622733615,0.07009011667622192,0.07364134548664314,0.05761288165394857,0.03209894502991363,0.03503782519682866,0.04909285832696674,0.04267960343633589,0.07839631454358457,0.02892150240138801,0.036690456843321125,0.04903944273913291,0.08387718669308233,0.12468310627813943,0.05401204362648994,0.05065876104328163
ihi,0.06772470369834098,0.9999999999999996,0.03776879258546263,0.1309276885783573,0.03967881933375908,0.08659402321251257,0.1511598303136945,0.12921836094867675,0.03535478970903652,0.09300187902009265,0.07039734875000038,0.0579556187703333,0.056114071479560296,0.04077741563633747,0.026735024509080767,0.06791650866039829,0.0746528409383215,0.08659080725317923,0.10496534289965018,0.10667186742206708,0.03655056804319435,0.10708083311570021,0.05000565483974896
itochu,0.04201972299750559,0.03776879258546263,1.0000000000000002,0.09483705874954439,0.052874827477720585,0.1805300660169068,0.10510345120811795,0.05075804437692507,0.14411057559174895,0.05752992233819485,0.22391786461412733,0.15037784879404328,0.10023015518802617,0.16844986255527497,0.11025881697956079,0.0631560474840853,0.12878602566594746,0.10245309293036156,0.10250352998395239,0.027611335617090275,0.05698180241891847,0.18963090258198875,0.05627351566350808
jfe-steel,0.042245387407930844,0.1309276885783573,0.09483705874954439,1.0000000000000042,0.05811338063051481,0.17428046242595957,0.18326549884027643,0.16008593297920176,0.05290877402208938,0.05201497099744069,0.07256908293272706,0.06560649387608611,0.12812241325966794,0.06802848927026621,0.07436797919145165,0.10611341235375966,0.04583105086943109,0.06786536935064927,0.14459358732066957,0.16294382933206528,0.10179849097114416,0.12643300188777332,0.1442482269326539
marubeni,0.05121326437598683,0.03967881933375908,0.052874827477720585,0.05811338063051481,1.0000000000000009,0.14020753301688246,0.07543439656877482,0.0768065111192641,0.04743564790847404,0.11392575308094255,0.055822339474628904,0.038544730287578335,0.03483503603813474,0.04192420079796058,0.028999935243202074,0.09085787235504847,0.03930285138055543,0.034715484137206626,0.05522324096538969,0.03726045766400797,0.09517349786846245,0.07347590255954245,0.053570976095347035
mitsubishi-corp,0.09950930074858332,0.08659402321251257,0.1805300660169068,0.17428046242595957,0.14020753301688246,1.0000000000000002,0.18529625029061272,0.19235352091237898,0.09831119583768705,0.12152292469449939,0.14445676216003886,0.09988089401805732,0.08271976252570289,0.1162889162504275,0.08868332573833904,0.10551925595461667,0.08479460165168887,0.07442223147058165,0.1389027624422587,0.10268549276958644,0.1502530665131182,0.18172098443466575,0.07953402261073587
mitsubishi-materials,0.06114070102870355,0.1511598303136945,0.10510345120811795,0.18326549884027643,0.07543439656877482,0.18529625029061272,0.9999999999999992,0.11390331217812913,0.06405656586567225,0.09055659960569594,0.0895245485114245,0.07419507753126152,0.08224184348343824,0.07016617980427328,0.056044177650916516,0.09943032806390557,0.06128531192209263,0.06713110589148254,0.08222052512930031,0.09368490937886012,0.09499245812395504,0.133602584482672,0.05561252155207619
mitsui-es,0.09908210622733615,0.12921836094867675,0.05075804437692507,0.16008593297920176,0.0768065111192641,0.19235352091237898,0.11390331217812913,1.0000000000000002,0.09211480755450584,0.0702094553009516,0.09473313614398278,0.06420052367973499,0.0713036903550487,0.07641773365613574,0.04915595206457392,0.08605301106750898,0.04975323052232913,0.09273486017999305,0.12714966218970408,0.14722977947244503,0.08800941660606332,0.11659487684402237,0.04294567597348781
ms-japan,0.07009011667622192,0.03535478970903652,0.14411057559174895,0.05290877402208938,0.04743564790847404,0.09831119583768705,0.06405656586567225,0.09211480755450584,0.9999999999999998,0.0658926450962399,0.1579873271589495,0.11067928676147,0.07267446384338769,0.11766658063431941,0.1297672642928911,0.047432606394824516,0.10474886171844859,0.07343803018647387,0.06523036068348881,0.022492961732477956,0.07942715137737061,0.11385951790930066,0.023993838967011943
nomura,0.07364134548664314,0.09300187902009265,0.05752992233819485,0.05201497099744069,0.11392575308094255,0.12152292469449939,0.09055659960569594,0.0702094553009516,0.0658926450962399,1.0000000000000002,0.05921314580527614,0.09047915654925848,0.04286835804849655,0.052363999340025835,0.034735450126614234,0.09642281357493736,0.06577972223498842,0.06759486656108579,0.055167315090316305,0.05616429716814965,0.05183758981239526,0.09123221247788532,0.0726705171373306
ntt-data,0.05761288165394857,0.07039734875000038,0.22391786461412733,0.07256908293272706,0.055822339474628904,0.14445676216003886,0.0895245485114245,0.09473313614398278,0.1579873271589495,0.05921314580527614,0.9999999999999996,0.21733843185353263,0.16014619953491765,0.15509054313477919,0.19527327975008069,0.1059406191163009,0.1503830895822703,0.18754496700725645,0.08830343047520234,0.012733823391678202,0.09552710829223511,0.1131171246496273,0.04628024814765497
